Time(s),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14
5.839,0.415000,0.510000,1.301000,2.771000,0.065000,1.142000,0.477000,0.413000,3.403000,-0.656000,-0.591000,-0.092000,-0.031000,0.031000
5.905,0.415000,0.544000,1.233000,2.805000,0.131000,1.174000,0.412000,0.413000,3.403000,-0.032000,0.228000,-0.123000,0.040000,0.000000
5.944,0.415000,0.544000,1.199000,2.805000,0.098000,1.109000,0.444000,0.413000,3.437000,0.065000,0.130000,-0.031000,0.000000,0.000000
6.010,0.448000,0.476000,1.267000,2.771000,0.164000,1.109000,0.444000,0.380000,3.403000,0.163000,0.130000,0.000000,-0.062000,0.063000
6.089,0.448000,0.476000,1.236000,2.975000,0.065000,1.109000,0.412000,0.413000,3.437000,-0.032000,0.065000,-0.061000,-0.031000,0.000000
6.141,0.415000,0.544000,1.236000,2.839000,0.065000,1.142000,0.412000,0.413000,3.536000,-0.247000,-0.085000,-0.092000,0.000000,0.031000
6.223,0.415000,0.476000,1.236000,2.771000,0.098000,1.109000,0.770000,0.478000,3.403000,-0.591000,-0.558000,-0.031000,-0.062000,0.031000
6.250,0.513000,0.510000,1.301000,2.771000,0.098000,1.109000,0.444000,0.511000,3.403000,-1.435000,-1.434000,-0.092000,-0.031000,0.031000
6.328,0.415000,0.510000,1.199000,2.771000,0.065000,1.109000,0.477000,0.413000,3.437000,-2.222000,0.163000,-0.092000,-0.031000,0.000000
6.392,0.415000,0.578000,1.202000,2.805000,0.065000,1.109000,0.575000,0.413000,3.470000,0.033000,0.195000,-0.092000,0.009000,0.031000
6.483,0.415000,0.476000,1.236000,2.771000,0.065000,1.142000,0.760000,0.445000,3.403000,0.065000,0.098000,-0.061000,-0.062000,0.031000
6.570,0.480000,0.476000,1.199000,2.771000,0.065000,1.207000,0.412000,0.445000,3.370000,0.033000,0.163000,-0.092000,-0.062000,0.031000
6.657,0.415000,0.510000,1.199000,3.075000,0.131000,1.109000,0.477000,0.445000,3.437000,0.065000,0.130000,-0.092000,-0.031000,0.000000
6.667,0.415000,0.578000,1.199000,2.771000,0.164000,1.109000,0.542000,0.413000,3.403000,0.098000,0.163000,-0.092000,-0.031000,0.031000
6.749,0.415000,0.476000,1.233000,2.839000,0.065000,1.174000,0.444000,0.511000,3.370000,0.065000,0.130000,-0.092000,-0.062000,0.031000
6.790,0.448000,0.476000,1.233000,2.839000,0.098000,1.142000,0.444000,0.380000,3.370000,0.033000,0.130000,-0.061000,-0.062000,0.000000
6.847,0.415000,0.852000,1.301000,2.771000,0.164000,1.142000,0.509000,0.413000,3.403000,0.000000,0.098000,-0.092000,-0.062000,0.094000
6.928,0.415000,0.510000,1.301000,2.771000,0.131000,1.109000,0.477000,0.445000,3.370000,0.000000,0.130000,-0.092000,-0.031000,0.031000
6.989,0.382000,0.578000,1.233000,2.839000,0.098000,1.207000,0.412000,0.445000,3.370000,0.000000,0.065000,-0.092000,0.040000,0.000000
